item1,item2,n,correlation
refaire,rapide,157,0.25894179547426277
sucre,rapide,157,0.2193139733851782
NA,enfant,157,0.14858157975930678
exceller,beurre,157,0.18643390799848958
exceller,délice,157,0.29181062795175594
manger,recette,156,0.25216896432179686
sucre,prochain,156,0.25769053792564267
prochain,sucre,156,0.25769053792564267
cuire,sucre,156,0.26011013199478555
sucre,cuire,156,0.26011013199478555
recette,manger,156,0.25216896432179686
réaliser,délicieux,155,0.16784113729102776
résultat,délicieux,155,0.14932273045032637
min,NA,155,0.14343939585182977
temps,NA,155,0.1813764750599656
crème,bon,155,0.1886539376100143
cuire,bon,155,0.12352280355969243
résultat,bon,155,0.2731846104082678
rapide,super,155,0.39095927008655906
délicieux,réaliser,155,0.16784113729102776
ajouter,simple,155,0.20426446427975506
NA,min,155,0.14343939585182977
bon,crème,155,0.1886539376100143
simple,ajouter,155,0.20426446427975506
bon,cuire,155,0.12352280355969243
NA,temps,155,0.1813764750599656
super,rapide,155,0.39095927008655906
délicieux,résultat,155,0.14932273045032637
bon,résultat,155,0.2731846104082678
sucrer,délicieux,154,0.21047723311252411
lait,NA,154,0.26533798096782224
four,recette,154,0.25900999596849206
délicieux,sucrer,154,0.21047723311252411
recette,four,154,0.25900999596849206
NA,lait,154,0.26533798096782224
prochain,délicieux,153,0.19502574160017583
remplacer,délicieux,153,0.23782655404179545
exceller,utiliser,153,0.24155446988099005
goût,utiliser,153,0.2480087804679569
sucre,quantité,153,0.2798654790328731
gâteau,refaire,153,0.28678920404153063
cuillère,recette,153,0.23375504039123665
délicieux,prochain,153,0.19502574160017583
utiliser,exceller,153,0.24155446988099005
excellent,exceller,153,0.12363645429625678
quantité,sucre,153,0.2798654790328731
résultat,sucre,153,0.24392927301982867
utiliser,goût,153,0.2480087804679569
exceller,excellent,153,0.12363645429625678
refaire,gâteau,153,0.28678920404153063
recette,cuillère,153,0.23375504039123665
sucre,résultat,153,0.24392927301982867
délicieux,remplacer,153,0.23782655404179545
falloir,délicieux,152,0.1024476951796303
léger,faire,152,0.2505527706311846
manger,NA,152,0.1844670798277885
meilleur,NA,152,0.20443433365977057
pâte,petit,152,0.1612987373113187
régal,exceller,152,0.2326159607963201
trouver,exceller,152,0.19266900321701638
aimer,sucre,152,0.1551251969378866
faire,léger,152,0.2505527706311846
chocolat,ajouter,152,0.1988157869296059
exceller,régal,152,0.2326159607963201
chocolat,adorer,152,0.2575600452758224
sucre,aimer,152,0.1551251969378866
délicieux,falloir,152,0.1024476951796303
NA,manger,152,0.1844670798277885
exceller,trouver,152,0.19266900321701638
petit,pâte,152,0.1612987373113187
ajouter,chocolat,152,0.1988157869296059
adorer,chocolat,152,0.2575600452758224
NA,meilleur,152,0.20443433365977057
trouver,délicieux,151,0.20445632811495068
